15018 22328
00:00:02 5045 2005
00:00:04 1100 1347
00:00:08 2316 1917
00:00:28 3972 1818
00:00:42 3667 2107
00:00:49 2684 1219
00:00:50 3282 1169
00:01:01 2508 2091
00:01:02 2810 1051
00:01:09 4708 1628
00:01:21 3667 1507
00:01:27 5188 1780
00:01:33 5656 2015
00:01:43 5409 1894
00:01:46 2483 1259
00:01:48 3805 1679
00:01:50 2663 1559
00:02:04 4591 1237
00:02:05 9154 2163
00:02:13 8121 1889
00:02:23 7972 1899
00:02:35 2810 1761
00:03:02 7494 1822
00:03:19 6495 1100
00:03:20 8775 1565
00:03:22 9271 1011
00:03:42 7699 2180
00:03:43 3845 1918
00:03:46 9256 1126
00:03:52 9044 1576
00:03:56 1640 1248
00:03:57 1957 1353
00:04:15 1827 1691
00:04:21 4228 1359
00:04:26 8121 1800
00:04:31 9197 1502
00:04:34 2555 1080
00:04:37 6854 2231
00:04:40 7529 1700
00:04:42 4622 1817
00:04:45 3939 1502
00:04:46 5506 1682
00:04:50 8961 1267
00:04:53 3667 2122
00:04:55 6408 1137
00:05:11 3805 1953
00:05:25 1100 1961
00:05:27 5195 2139
00:05:31 5340 1332
00:05:44 7972 1457
00:05:45 2020 2103
00:05:49 6939 1825
00:05:51 9252 1665
00:06:01 1914 1128
00:06:08 9604 1694
00:06:10 4741 1490
00:06:11 5582 1996
00:06:23 6904 1615
00:06:27 7456 1915
00:06:34 7253 1105
00:06:36 2353 1640
00:06:44 8961 2003
00:06:46 5574 1395
00:06:47 7832 1585
00:06:52 3615 1265
00:06:54 7863 1805
00:07:08 8957 1596
00:07:10 6259 2169
00:07:22 9154 2137
00:07:28 1094 1456
00:07:30 8456 1753
00:07:31 5521 1565
00:07:34 2508 1968
00:07:38 7529 1684
00:07:47 2548 1223
00:07:49 3615 1268
00:07:50 6939 2041
00:07:56 4418 2043
00:08:07 9662 1488
00:08:10 2433 1932
00:08:13 7588 2184
00:08:31 8107 1092
00:08:32 5045 1893
00:08:33 4446 1495
00:08:34 1067 1069
00:08:41 4622 1365
00:08:45 2912 2192
00:08:46 8974 2003
00:08:53 5195 1282
00:08:58 4304 2018
00:09:00 6724 1105
00:09:10 7716 1364
00:09:13 2020 1589
00:09:14 9067 1590
00:09:17 2137 1242
00:09:21 7832 2053
00:09:23 1661 1322
00:09:25 8974 1963
00:09:26 3240 1629
00:09:34 2316 2111
00:09:36 2550 1544
00:09:38 8166 1919
00:09:45 2556 1368
00:09:48 3568 1072
00:09:53 4741 1839
00:10:00 1094 1774
00:10:08 1640 1565
00:10:12 9654 1016
00:10:13 9044 1260
00:10:17 2548 1773
00:10:34 7185 1676
00:10:35 6495 1698
00:10:40 7606 1703
00:10:55 5214 2178
00:10:59 7968 1786
00:11:04 4304 1128
00:11:08 5104 2045
00:11:16 4078 2015
00:11:19 4467 1872
00:11:28 4622 1924
00:11:32 7699 1928
00:11:34 6826 2147
00:11:39 1067 1285
00:11:41 2020 1103
00:11:44 3389 1670
00:11:55 2556 1433
